name;manufacturer;serving_size;energy_kcal;protein_g;carbohydrate_g;fat_g;sugar_g;sodium_mg;fiber_g;energy_percentage_dv;protein_percentage_dv;carbohydrate_percentage_dv;fat_percentage_dv;sodium_percentage_dv;Lemak jenuh;Natrium;Protein;Karbohidrat total;Energi;Lemak total;Serat pangan;Column1;Column2;Column3;Column4
Margarine;Tidak Diketahui;2.50 g;720.0;0.6;0.4;81.0;0.0;760.0;0.0;33.49;1.0;0.12;120.9;50.67;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
Pocari sweat;PT. Amerta indah otsuka;0 g;70.0;0.0;17.0;0.0;16.0;0.0;0.0;3.26;0.0;5.23;0.0;0.0;0.0;0.0;0.0;6.0;4.0;0.0;0.0;;;;
Starbucks iced caffe latte (wholemilk);Tidak Diketahui;8 g;120.0;8.0;13.0;7.0;0.0;0.0;0.0;5.58;13.33;4.0;10.45;0.0;0.0;0.0;14.0;0.0;6.0;11.0;0.0;;;;
Susu kental manis;Tidak Diketahui;1.80 g;343.0;8.2;55.0;10.0;0.0;150.0;0.0;15.95;13.67;16.92;14.93;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
Royco sup krim ayam;Tidak Diketahui;2 g;50.0;2.0;9.0;1.0;2.0;710.0;0.0;2.33;3.33;2.77;1.49;47.33;0.0;48.0;4.0;3.0;0.0;0.0;0.0;;;;
Keong; segar;Tidak Diketahui;4 g;64.0;12.0;2.0;1.0;0.0;231.0;0.0;2.98;20.0;0.62;1.49;15.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;
Daging Ayam ; segar;Tidak Diketahui;0.90 g;298.0;18.2;0.0;25.0;0.0;109.0;0.0;13.86;30.33;0.0;37.31;7.27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;
Babi; daging; gemuk; segar;Tidak Diketahui;1.10 g;453.0;11.9;0.0;45.0;0.0;112.0;0.0;21.07;19.83;0.0;67.16;7.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
Daun pangi; segar;Tidak Diketahui;1.50 g;104.0;3.9;17.9;0.6;0.0;4.0;8.3;4.84;6.5;5.51;0.9;0.27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;
Snow skin lotus paste mooncake;Tidak Diketahui;1.16 g;187.0;2.12;26.36;8.04;0.0;0.0;1.16;8.7;3.53;8.11;12.0;0.0;0.0;0.0;0.0;9.0;9.0;12.0;0.0;;;;
Adem sari herbal lemon;PT. Hokkan Indonesia;0 g;60.0;0.0;16.0;0.0;14.0;65.0;0.0;2.79;0.0;4.92;0.0;4.33;0.0;5.0;0.0;5.0;3.0;0.0;0.0;;;;
Pucuk lumai / daun leunca; segar;Tidak Diketahui;1.30 g;33.0;4.5;2.8;0.4;0.0;2.0;0.0;1.53;7.5;0.86;0.6;0.13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;
Ayam goreng church texas; sayap;Tidak Diketahui;1.30 g;295.0;34.0;1.5;16.0;0.0;771.0;0.0;13.72;56.67;0.46;23.88;51.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;
Wortel rebus;Tidak Diketahui;0.40 g;28.0;0.7;6.3;0.5;0.0;41.0;0.8;1.3;1.17;1.94;0.75;2.73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
Babi; hati; segar;Tidak Diketahui;1.50 g;129.0;19.7;1.7;4.8;0.0;110.0;0.0;6.0;32.83;0.52;7.16;7.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
Gekikara ramen 109 gram;PT. nissin food indonesia;6 g;160.0;9.0;74.0;18.0;4.0;1200.0;6.0;23.26;15.0;22.77;26.87;80.0;45.0;80.0;0.0;0.0;0.0;27.0;0.0;;;;
Kopi Indocafe coffemix 3 in 1;PT. Sari Incofood;1 g;90.0;1.0;17.0;2.0;13.0;0.0;0.0;4.19;1.67;5.23;2.99;0.0;0.0;0.0;0.0;6.0;5.0;3.0;0.0;;;;
Sprite 390 ml;PT. Coca-cola bottling indonesia;0 g;0.0;0.0;25.0;0.0;25.0;40.0;0.0;4.65;0.0;7.69;0.0;2.67;0.0;3.0;0.0;8.0;5.0;0.0;0.0;;;;
